Product ID,feature,shap_value
H33769,Air temperature K,2.039391
L52116,Air temperature K,2.0306535
L51213,Air temperature K,-0.7437478
L52016,Air temperature K,5.665428
L56834,Air temperature K,-2.8462155
L55375,Air temperature K,-1.9106753
L51344,Air temperature K,3.876397
L54857,Air temperature K,-1.7945135
L57010,Air temperature K,-1.7064593
L49479,Air temperature K,-1.2963798
L50940,Air temperature K,3.4343832
H33243,Air temperature K,3.9166317
L49885,Air temperature K,-3.333719
M21659,Air temperature K,-1.2270848
L56847,Air temperature K,-1.982978
L50708,Air temperature K,-1.1648718
H34813,Air temperature K,0.33089516
M18674,Air temperature K,3.266504
L51364,Air temperature K,3.4661665
L51482,Air temperature K,-1.6701452
L51299,Air temperature K,2.087524
L48770,Air temperature K,-1.0017312
L50084,Air temperature K,-3.9998026
L51508,Air temperature K,-0.5573025
M23874,Air temperature K,-1.9228743
L51310,Air temperature K,1.4110754
L51359,Air temperature K,3.1947253
M19011,Air temperature K,1.3746009
L51276,Air temperature K,0.84512466
L52042,Air temperature K,3.9166546
M23058,Air temperature K,-2.6412146
M20261,Air temperature K,1.3696129
L54716,Air temperature K,-1.194388
L50446,Air temperature K,-1.755817
L50864,Air temperature K,-0.81936353
L51948,Air temperature K,6.457922
L48265,Air temperature K,-0.34685832
H33492,Air temperature K,3.2572615
L51411,Air temperature K,3.3209772
L47230,Air temperature K,-0.96326554
L52164,Air temperature K,1.5368948
L48599,Air temperature K,-2.501165
L51911,Air temperature K,3.7982247
L56196,Air temperature K,-0.47013053
M20858,Air temperature K,-1.0876004
H33665,Air temperature K,3.0991876
L48763,Air temperature K,-1.743478
L52914,Air temperature K,-0.08311121
L51429,Air temperature K,2.5575192
L54939,Air temperature K,-1.4684416
L51267,Air temperature K,0.59000844
L51320,Air temperature K,1.7210535
M22424,Air temperature K,-1.154846
L47422,Air temperature K,-1.9036349
L52020,Air temperature K,5.270187
L48514,Air temperature K,-1.990221
L52011,Air temperature K,5.9909515
L51465,Air temperature K,1.3470904
M18980,Air temperature K,2.3970942
L50530,Air temperature K,-1.0115713
L51882,Air temperature K,4.5012283
L51462,Air temperature K,0.39099884
L51210,Air temperature K,-2.2264664
L50205,Air temperature K,-2.8369856
L51950,Air temperature K,6.1648035
L52571,Air temperature K,-0.13471362
M18884,Air temperature K,0.52965045
L48324,Air temperature K,-1.491608
L47765,Air temperature K,-0.20943357
M19580,Air temperature K,5.7128043
L50668,Air temperature K,-1.7522771
L50973,Air temperature K,3.1675327
L51825,Air temperature K,-1.4558978
L48854,Air temperature K,-0.92687005
M16184,Air temperature K,-2.6969259
L48705,Air temperature K,-0.74834275
M21538,Air temperature K,-1.1334913
M15067,Air temperature K,-0.9606549
L51503,Air temperature K,1.336077
H30623,Air temperature K,-1.8120759
L51473,Air temperature K,-0.33541387
L50199,Air temperature K,-2.147154
L55784,Air temperature K,-2.7121007
L51318,Air temperature K,1.5306145
L51298,Air temperature K,-1.0253037
L50776,Air temperature K,-0.33250743
L51337,Air temperature K,2.1455421
M19238,Air temperature K,-1.5544236
L51459,Air temperature K,1.482553
M18727,Air temperature K,2.4704218
M18317,Air temperature K,-0.6565908
L50549,Air temperature K,-1.322522
H39353,Air temperature K,-1.9203727
L53339,Air temperature K,-0.73770237
L49513,Air temperature K,-0.81755906
H32875,Air temperature K,-0.33550158
L47622,Air temperature K,-1.223465
L50967,Air temperature K,3.2464733
L50989,Air temperature K,2.576758
H34462,Air temperature K,1.1455113
L54849,Air temperature K,-1.6786308
L53682,Air temperature K,-3.6066003
L54112,Air temperature K,-1.8092104
L54170,Air temperature K,-3.1197648
M18981,Air temperature K,3.1599362
M19492,Air temperature K,5.075869
L47341,Air temperature K,-0.45354062
L56843,Air temperature K,-1.317776
M21400,Air temperature K,-1.0477126
M18666,Air temperature K,3.9705675
L54261,Air temperature K,-4.070477
L53204,Air temperature K,-2.0587327
H35932,Air temperature K,-1.6239117
L49761,Air temperature K,-2.5323846
L51335,Air temperature K,1.2300582
L48859,Air temperature K,-0.62247586
L54167,Air temperature K,-3.6123495
L51994,Air temperature K,1.0578676
M18654,Air temperature K,3.6348522
L47560,Air temperature K,-0.63326997
L51046,Air temperature K,4.3437176
M19118,Air temperature K,5.665633
L49255,Air temperature K,-0.83145934
L49682,Air temperature K,-0.58828986
L51908,Air temperature K,0.8849644
L48347,Air temperature K,-1.4144243
L55006,Air temperature K,-2.2746415
L54104,Air temperature K,-1.2421944
L54460,Air temperature K,-2.309643
L53345,Air temperature K,-2.3090494
H30814,Air temperature K,-4.6895185
L51396,Air temperature K,-1.390595
L51405,Air temperature K,2.546795
L48186,Air temperature K,-0.6033174
M17739,Air temperature K,-3.887625
L51506,Air temperature K,0.7143391
M17026,Air temperature K,0.17286596
L48927,Air temperature K,-0.8191181
L56793,Air temperature K,-3.94116
L51212,Air temperature K,-1.4576213
L51910,Air temperature K,0.0857632
L53853,Air temperature K,-0.899572
L51297,Air temperature K,-0.5688891
M19113,Air temperature K,5.3830814
M20385,Air temperature K,2.112315
M22451,Air temperature K,-2.5867867
L54749,Air temperature K,-1.5804799
L52773,Air temperature K,2.2583218
L48275,Air temperature K,0.06626482
M17286,Air temperature K,-3.0435417
L47255,Air temperature K,-2.8787382
L52450,Air temperature K,1.6342665
L55776,Air temperature K,-3.5948126
H33006,Air temperature K,-1.7171205
L50676,Air temperature K,-1.988768
M18976,Air temperature K,-0.9749383
L55542,Air temperature K,-4.2851458
H37262,Air temperature K,-1.2923267
M22857,Air temperature K,-0.95608675
L52886,Air temperature K,-0.40938586
L51250,Air temperature K,-0.6356947
L55406,Air temperature K,-2.8899248
L49413,Air temperature K,-1.0772829
L51371,Air temperature K,-0.5234168
L56944,Air temperature K,-2.0591283
L50781,Air temperature K,-0.69660985
M19213,Air temperature K,-0.07784136
M16276,Air temperature K,-2.4829683
L49211,Air temperature K,-4.2071114
M20856,Air temperature K,-1.8266398
M18387,Air temperature K,-1.0124757
L53307,Air temperature K,-3.1529963
L52156,Air temperature K,2.943118
L51487,Air temperature K,-0.13747883
M20859,Air temperature K,-0.2807782
L51813,Air temperature K,1.1548309
L50038,Air temperature K,-1.5288336
M24356,Air temperature K,-3.320276
M15740,Air temperature K,-1.6342205
L51560,Air temperature K,-2.3534079
L52380,Air temperature K,1.5494477
L52085,Air temperature K,4.5331187
M17708,Air temperature K,-1.9350104
L51534,Air temperature K,-0.717609
M18453,Air temperature K,-1.8021946
L54717,Air temperature K,-2.3589747
L48964,Air temperature K,-0.5354346
L52999,Air temperature K,-1.7234576
L47436,Air temperature K,-3.5933511
L49013,Air temperature K,-2.4308782
M22863,Air temperature K,-2.4614034
L55208,Air temperature K,-1.6049654
M16367,Air temperature K,-2.6759014
H30537,Air temperature K,-1.1949449
M18247,Air temperature K,-1.0194165
L49514,Air temperature K,-0.75382704
L55751,Air temperature K,-0.80977905
L56624,Air temperature K,-0.41346583
L53119,Air temperature K,-2.5484347
L51124,Air temperature K,0.18037766
L50179,Air temperature K,-2.4623199
L52487,Air temperature K,0.23852679
L52013,Air temperature K,5.5601974
L55204,Air temperature K,-1.7998018
M18716,Air temperature K,-0.68306565
M16540,Air temperature K,-1.0539498
L52031,Air temperature K,5.9362783
L55190,Air temperature K,-2.9662528
H38909,Air temperature K,-2.530593
M19080,Air temperature K,-1.1680949
L50536,Air temperature K,-0.90063494
M22547,Air temperature K,-0.10668697
M19063,Air temperature K,1.4832982
L54191,Air temperature K,-1.9091132
L52580,Air temperature K,0.5190959
L48721,Air temperature K,-0.71553916
L51826,Air temperature K,-0.24210584
M22881,Air temperature K,-1.0492458
L51391,Air temperature K,1.9930648
M21996,Air temperature K,-4.234685
L51203,Air temperature K,-0.07894093
H32906,Air temperature K,-1.9323609
L51824,Air temperature K,-0.2766086
L51023,Air temperature K,0.59544134
L48025,Air temperature K,-1.3882655
L51811,Air temperature K,1.7229501
L47585,Air temperature K,-2.9483805
L51290,Air temperature K,-0.4330213
M16616,Air temperature K,-3.1278615
M21318,Air temperature K,-4.4942145
L52668,Air temperature K,1.2120035
H35402,Air temperature K,-3.1038065
L56345,Air temperature K,-4.445566
L49195,Air temperature K,-2.3452606
L54373,Air temperature K,-3.4622967
M23329,Air temperature K,-3.8591995
L53501,Air temperature K,-3.5230815
L48430,Air temperature K,-0.60268253
L53852,Air temperature K,-1.1279371
M18096,Air temperature K,-4.3378816
L53333,Air temperature K,-1.2040442
L48598,Air temperature K,-3.4215121
M21785,Air temperature K,-2.4688041
L52242,Air temperature K,0.75842315
L47941,Air temperature K,-2.7679355
M22284,Air temperature K,-0.7314283
M22143,Air temperature K,-2.7273295
M20088,Air temperature K,3.109388
M21478,Air temperature K,-0.5541074
M17018,Air temperature K,-2.2951672
M19509,Air temperature K,2.4208453
L48027,Air temperature K,-0.78876215
L52119,Air temperature K,2.9962642
L51293,Air temperature K,-1.5156169
M19066,Air temperature K,0.535306
L50748,Air temperature K,-0.68928343
H33443,Air temperature K,-1.8013961
L51823,Process temperature K,0.43811402
L51642,Process temperature K,0.50885224
L51909,Process temperature K,0.14851908
L51563,Process temperature K,0.82017076
L54689,Process temperature K,0.053920396
L51822,Process temperature K,0.63437754
L51597,Process temperature K,2.2078712
L51601,Process temperature K,3.0832932
L51034,Process temperature K,-0.56391823
H33894,Process temperature K,3.432385
L54773,Process temperature K,0.066736
L48515,Process temperature K,-0.094220765
L51681,Process temperature K,4.0930676
M20254,Process temperature K,-2.1292567
L51628,Process temperature K,3.46989
L48676,Process temperature K,0.7465961
L51123,Process temperature K,-0.9236771
H35323,Process temperature K,-0.088012956
L56839,Process temperature K,0.6453435
L51621,Process temperature K,3.8857405
L51675,Process temperature K,3.462592
L51615,Process temperature K,3.9910111
L51716,Process temperature K,3.8850021
M19269,Process temperature K,4.3287144
L48341,Process temperature K,0.86831856
L51655,Process temperature K,2.6266
L49941,Process temperature K,-0.8781516
L49778,Process temperature K,0.9599797
M15984,Process temperature K,1.1981972
L51580,Process temperature K,4.0633655
L57154,Process temperature K,-0.08049616
M15876,Process temperature K,1.5218201
L52100,Process temperature K,-2.841148
L47429,Process temperature K,-0.073581025
L47249,Process temperature K,-0.39437833
L47428,Process temperature K,-0.11351834
L51690,Process temperature K,3.1496294
L51251,Process temperature K,-1.470047
L56673,Process temperature K,0.65163845
M23167,Process temperature K,0.07647158
L47340,Process temperature K,-0.15123957
L53435,Process temperature K,-0.44560304
M19393,Process temperature K,3.4274633
L53677,Process temperature K,1.2874066
M19279,Process temperature K,1.5510098
L51585,Process temperature K,4.1432104
M19416,Process temperature K,2.052864
L56844,Process temperature K,0.013972774
L51738,Process temperature K,1.8666914
L55578,Process temperature K,1.525373
L51831,Process temperature K,0.34604156
L55617,Process temperature K,0.7863822
L51724,Process temperature K,3.1964636
L51750,Process temperature K,1.4692466
L48775,Process temperature K,-0.1737293
M19249,Process temperature K,2.958608
M18795,Process temperature K,-0.02514651
M19387,Process temperature K,2.5837162
L51550,Process temperature K,3.0996695
L52399,Process temperature K,-3.1335452
L51434,Process temperature K,0.1036946
L51928,Process temperature K,0.102678746
L51780,Process temperature K,1.0206034
M19478,Process temperature K,0.60801256
L48106,Process temperature K,0.39727795
M19587,Process temperature K,0.0951569
L51841,Process temperature K,0.33465326
M19287,Process temperature K,3.3700318
L51939,Process temperature K,-0.42842674
L51450,Process temperature K,1.9980747
L52241,Process temperature K,-3.219423
L55372,Process temperature K,0.060151458
L53258,Process temperature K,-0.23484933
L53705,Process temperature K,1.0596247
M19529,Process temperature K,-0.22558387
M19143,Process temperature K,2.486811
L48571,Process temperature K,0.2353949
L56594,Process temperature K,0.6971569
L47783,Process temperature K,1.248373
L54347,Process temperature K,0.10439687
L56264,Process temperature K,0.3627051
H37528,Process temperature K,-0.45192012
M15119,Process temperature K,0.2944138
L51586,Process temperature K,4.2181253
L56355,Process temperature K,-0.43308938
M19857,Process temperature K,-2.4688816
L52332,Process temperature K,-2.1175592
L54266,Process temperature K,-0.1198245
M19704,Process temperature K,-0.28042725
L51759,Process temperature K,0.40411332
M19461,Process temperature K,0.36388075
H34312,Process temperature K,-0.5394307
L51362,Process temperature K,2.0926495
L51800,Process temperature K,0.67282856
L51791,Process temperature K,0.5003529
L52670,Process temperature K,-3.6078222
L51260,Process temperature K,3.0386019
M19221,Process temperature K,2.9786296
L51801,Process temperature K,0.72224474
M23105,Process temperature K,0.06256279
M19202,Process temperature K,2.0612178
L54263,Process temperature K,-0.44852296
L49624,Process temperature K,1.1512806
L51898,Process temperature K,0.5590008
L51776,Process temperature K,0.5723766
L49305,Process temperature K,0.81298816
L49511,Process temperature K,0.30337903
M19622,Process temperature K,-0.99428886
L47926,Process temperature K,-0.12047656
M19033,Process temperature K,1.8958567
L51935,Process temperature K,-0.29281875
L48969,Process temperature K,0.9888106
L51919,Process temperature K,0.21871981
H32414,Process temperature K,1.0131423
L47507,Process temperature K,0.35659224
H32274,Process temperature K,-1.5638158
L51261,Process temperature K,3.349961
M19597,Process temperature K,0.009150533
M19309,Process temperature K,3.3277442
L47643,Process temperature K,-0.12976488
L53428,Process temperature K,-0.41611686
M20194,Process temperature K,-2.6224375
M23442,Process temperature K,-0.267274
M19525,Process temperature K,-0.1658954
H34175,Process temperature K,-0.91170776
L48342,Process temperature K,0.06600082
H33979,Process temperature K,1.3755226
L51228,Process temperature K,0.12927434
M23706,Process temperature K,0.9519738
L47348,Process temperature K,0.7649112
M19013,Process temperature K,3.96212
L51903,Process temperature K,-0.06712913
M20475,Process temperature K,-2.5884826
L55106,Process temperature K,-0.34349135
L54936,Process temperature K,0.23667972
L57002,Process temperature K,-0.55569816
L49674,Process temperature K,0.47704363
M19251,Process temperature K,3.5437407
L48988,Process temperature K,-0.38869342
L51365,Process temperature K,1.9508739
M19030,Process temperature K,2.0405302
L53358,Process temperature K,-0.2985684
L51427,Process temperature K,0.20702945
H33769,Process temperature K,4.034788
L52116,Process temperature K,-2.6784513
L51213,Process temperature K,-0.080033965
L52016,Process temperature K,-0.54847294
L56834,Process temperature K,-0.372953
L55375,Process temperature K,-0.013823591
L51344,Process temperature K,1.9624145
L54857,Process temperature K,0.16825122
L57010,Process temperature K,-0.50603324
L49479,Process temperature K,1.1534213
L50940,Process temperature K,2.4768808
H33243,Process temperature K,2.2047021
L49885,Process temperature K,0.02024129
M21659,Process temperature K,0.7606149
L56847,Process temperature K,0.14449418
L50708,Process temperature K,0.8175082
H34813,Process temperature K,-0.469252
M18674,Process temperature K,1.2985599
L51364,Process temperature K,1.999564
L51482,Process temperature K,-0.15821992
L51299,Process temperature K,1.1495978
L48770,Process temperature K,-0.8815627
L50084,Process temperature K,-1.8567243
L51508,Process temperature K,2.508708
M23874,Process temperature K,-0.23086831
L51310,Process temperature K,2.9852645
L51359,Process temperature K,2.350763
M19011,Process temperature K,2.6413019
L51276,Process temperature K,2.4097538
L52042,Process temperature K,-3.8726187
M23058,Process temperature K,-0.6776458
M20261,Process temperature K,-0.8717605
L54716,Process temperature K,0.74611294
L50446,Process temperature K,0.95679176
L50864,Process temperature K,-0.87278783
L51948,Process temperature K,-1.5247859
L48265,Process temperature K,-0.06270774
H33492,Process temperature K,1.0241554
L51411,Process temperature K,1.5423707
L47230,Process temperature K,-0.8968314
L52164,Process temperature K,-3.1341095
L48599,Process temperature K,0.96496016
L51911,Process temperature K,0.019146528
L56196,Process temperature K,-0.68607026
M20858,Process temperature K,-1.0160561
H33665,Process temperature K,1.7891433
L48763,Process temperature K,0.062365875
L52914,Process temperature K,-0.5546608
L51429,Process temperature K,1.2963047
L54939,Process temperature K,0.076467596
L51267,Process temperature K,2.2615068
L51320,Process temperature K,2.7699232
M22424,Process temperature K,-0.30114344
L47422,Process temperature K,-1.3153142
L52020,Process temperature K,-0.86649024
L48514,Process temperature K,0.07264103
L52011,Process temperature K,-1.992395
L51465,Process temperature K,3.0980766
M18980,Process temperature K,1.0474818
L50530,Process temperature K,-0.11304116
L51882,Process temperature K,0.029294154
L51462,Process temperature K,2.909065
L51210,Process temperature K,-0.09775299
L50205,Process temperature K,0.022830635
L51950,Process temperature K,-0.9513163
L52571,Process temperature K,-2.0062625
M18884,Process temperature K,-0.8323841
L48324,Process temperature K,0.425367
L47765,Process temperature K,0.34864253
M19580,Process temperature K,-0.19291615
L50668,Process temperature K,-0.66663086
L50973,Process temperature K,1.9006898
L51825,Process temperature K,0.55758506
L48854,Process temperature K,0.23606895
M16184,Process temperature K,-0.31587088
L48705,Process temperature K,-0.8699924
M21538,Process temperature K,-0.48503983
M15067,Process temperature K,1.4871761
L51503,Process temperature K,3.2106926
H30623,Process temperature K,-2.3022122
L51473,Process temperature K,-0.75490224
L50199,Process temperature K,0.8449376
L55784,Process temperature K,-0.76426
L51318,Process temperature K,3.0484757
L51298,Process temperature K,-0.59918845
L50776,Process temperature K,-0.18929455
L51337,Process temperature K,1.3149903
M19238,Process temperature K,0.49878806
L51459,Process temperature K,2.9225943
M18727,Process temperature K,0.50094527
M18317,Process temperature K,0.6065293
L50549,Process temperature K,1.0181725
H39353,Process temperature K,-2.243805
L53339,Process temperature K,0.44897443
L49513,Process temperature K,0.6276015
H32875,Process temperature K,2.395922
L47622,Process temperature K,1.8853152
L50967,Process temperature K,1.7524971
L50989,Process temperature K,0.94434726
H34462,Process temperature K,-2.791119
L54849,Process temperature K,0.21685828
L53682,Process temperature K,-0.9234286
L54112,Process temperature K,-0.72392833
L54170,Process temperature K,0.5199995
M18981,Process temperature K,1.127541
M19492,Process temperature K,0.39459252
L47341,Process temperature K,-0.3864254
L56843,Process temperature K,-0.5099993
M21400,Process temperature K,-0.20641775
M18666,Process temperature K,1.6572245
L54261,Process temperature K,0.13852686
L53204,Process temperature K,-0.2298203
H35932,Process temperature K,0.4215823
L49761,Process temperature K,-0.27289099
L51335,Process temperature K,1.6701628
L48859,Process temperature K,0.6775724
L54167,Process temperature K,0.3049502
L51994,Process temperature K,0.044095945
M18654,Process temperature K,1.224971
L47560,Process temperature K,-1.136494
L51046,Process temperature K,-0.592022
M19118,Process temperature K,-0.07931799
L49255,Process temperature K,-0.68875355
L49682,Process temperature K,-0.641336
L51908,Process temperature K,-0.83839333
L48347,Process temperature K,-0.36871773
L55006,Process temperature K,-0.36438033
L54104,Process temperature K,0.33126873
L54460,Process temperature K,0.6248621
L53345,Process temperature K,-0.013221744
H30814,Process temperature K,-0.5315033
L51396,Process temperature K,-0.86273223
L51405,Process temperature K,1.0195054
L48186,Process temperature K,-0.043413512
M17739,Process temperature K,-0.18756588
L51506,Process temperature K,2.7592707
M17026,Process temperature K,-0.7865481
L48927,Process temperature K,-0.78164685
L56793,Process temperature K,-0.32584968
L51212,Process temperature K,-0.1456647
L51910,Process temperature K,-0.7015802
L53853,Process temperature K,0.089529365
L51297,Process temperature K,0.6931212
M19113,Process temperature K,0.51329494
M20385,Process temperature K,-4.3460875
M22451,Process temperature K,-0.6155659
L54749,Process temperature K,0.10857246
L52773,Process temperature K,-2.949984
L48275,Process temperature K,0.74843925
M17286,Process temperature K,1.0538266
L47255,Process temperature K,0.84777594
L52450,Process temperature K,-5.191347
L55776,Process temperature K,-1.5752985
H33006,Process temperature K,1.1424527
L50676,Process temperature K,-1.3681266
M18976,Process temperature K,-0.4542529
L55542,Process temperature K,0.80302453
H37262,Process temperature K,-0.3620417
M22857,Process temperature K,-1.2483175
L52886,Process temperature K,-1.2963625
L51250,Process temperature K,-0.81718963
L55406,Process temperature K,-2.015644
L49413,Process temperature K,-0.3336778
L51371,Process temperature K,-1.7589802
L56944,Process temperature K,1.1866636
L50781,Process temperature K,-0.35007372
M19213,Process temperature K,1.011703
M16276,Process temperature K,0.5269349
L49211,Process temperature K,1.6606555
M20856,Process temperature K,-0.61336535
M18387,Process temperature K,0.09076365
L53307,Process temperature K,-0.20788659
L52156,Process temperature K,-3.443305
L51487,Process temperature K,2.4959562
M20859,Process temperature K,-0.31898662
L51813,Process temperature K,-0.16844754
L50038,Process temperature K,-1.2332331
M24356,Process temperature K,-0.88012457
M15740,Process temperature K,1.0814204
L51560,Process temperature K,-0.5658437
L52380,Process temperature K,-1.741533
L52085,Process temperature K,-4.7548738
M17708,Process temperature K,-0.8810634
L51534,Process temperature K,1.1711292
M18453,Process temperature K,0.9696183
L54717,Process temperature K,-0.92617166
L48964,Process temperature K,-0.9517728
L52999,Process temperature K,0.2745996
L47436,Process temperature K,0.6299211
L49013,Process temperature K,0.97583854
M22863,Process temperature K,-0.88701975
L55208,Process temperature K,0.38843518
M16367,Process temperature K,0.2337057
H30537,Process temperature K,1.4761294
M18247,Process temperature K,-1.5799526
L49514,Process temperature K,0.003958008
L55751,Process temperature K,-0.49209094
L56624,Process temperature K,0.46220595
L53119,Process temperature K,-1.905616
L51124,Process temperature K,-0.27843454
L50179,Process temperature K,0.029571561
L52487,Process temperature K,-0.8012049
L52013,Process temperature K,-1.3500271
L55204,Process temperature K,-1.4304651
M18716,Process temperature K,-1.5887766
M16540,Process temperature K,2.065635
L52031,Process temperature K,-2.6031911
L55190,Process temperature K,-0.6014539
H38909,Process temperature K,-0.82060236
M19080,Process temperature K,-2.0044055
L50536,Process temperature K,-0.26375756
M22547,Process temperature K,0.2627517
M19063,Process temperature K,0.8029146
L54191,Process temperature K,0.3625592
L52580,Process temperature K,-1.3688766
L48721,Process temperature K,-1.0645764
L51826,Process temperature K,0.065031424
M22881,Process temperature K,-0.7902658
L51391,Process temperature K,1.223867
M21996,Process temperature K,1.2017077
L51203,Process temperature K,-0.79870486
H32906,Process temperature K,-2.7244346
L51824,Process temperature K,0.06316989
L51023,Process temperature K,-1.999344
L48025,Process temperature K,0.61682165
L51811,Process temperature K,-0.02494092
L47585,Process temperature K,0.9242707
L51290,Process temperature K,-0.40754247
M16616,Process temperature K,0.28776944
M21318,Process temperature K,-0.12344697
L52668,Process temperature K,-1.2418128
H35402,Process temperature K,-0.10454355
L56345,Process temperature K,1.2649812
L49195,Process temperature K,0.34276465
L54373,Process temperature K,0.6003298
M23329,Process temperature K,1.0929861
L53501,Process temperature K,0.14284268
L48430,Process temperature K,0.20828426
L53852,Process temperature K,-0.19981183
M18096,Process temperature K,0.118716225
L53333,Process temperature K,-0.27210453
L48598,Process temperature K,1.227732
M21785,Process temperature K,-0.8068884
L52242,Process temperature K,-5.487414
L47941,Process temperature K,1.0706757
M22284,Process temperature K,0.46249956
M22143,Process temperature K,-0.0037051644
M20088,Process temperature K,-5.4609685
M21478,Process temperature K,-1.1502624
M17018,Process temperature K,-0.9730049
M19509,Process temperature K,-0.34765136
L48027,Process temperature K,0.38486487
L52119,Process temperature K,-5.8407097
L51293,Process temperature K,-0.5439056
M19066,Process temperature K,0.23041452
L50748,Process temperature K,-0.34076646
H33443,Process temperature K,-0.0069792913
L51823,Rotational speed rpm,2.0560107
L51642,Rotational speed rpm,1.7738712
L51909,Rotational speed rpm,1.0929283
