UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,soma_subtipos,probabilidade_falha,risco
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,2.0715595e-06,Baixo
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,8.718423e-06,Baixo
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,8.942348e-06,Baixo
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,0,2.9539622e-05,Baixo
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,2.4015244e-06,Baixo
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,3.4484133e-06,Baixo
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,5.4249324e-07,Baixo
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,0,1.6451938e-07,Baixo
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,0,5.9985166e-07,Baixo
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,0,4.5225622e-08,Baixo
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,2.23794e-06,Baixo
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,3.1711574e-05,Baixo
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,7.12511e-06,Baixo
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,6.331028e-05,Baixo
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,1.4468057e-05,Baixo
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,0,1.16251e-05,Baixo
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,7.4852155e-06,Baixo
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,0,1.3497746e-06,Baixo
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,8.0089995e-07,Baixo
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,0,1.0074297e-06,Baixo
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,1.6323394e-05,Baixo
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,2.1359085e-07,Baixo
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,0,3.13068e-06,Baixo
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,0.9872405,Crítico
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,1.47542405e-05,Baixo
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,6.231441e-07,Baixo
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,2.0718794e-06,Baixo
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,2.6506767e-05,Baixo
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,9.22363e-07,Baixo
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,6.179204e-07,Baixo
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,2.325634e-06,Baixo
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,0,2.881504e-07,Baixo
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,0,4.633466e-06,Baixo
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,3.8193566e-06,Baixo
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,0,5.2755117e-06,Baixo
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,0,1.5710291e-06,Baixo
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,0,9.359769e-06,Baixo
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,0,4.6695077e-06,Baixo
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,1.4693866e-06,Baixo
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,0,3.410161e-05,Baixo
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,5.283774e-06,Baixo
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,0,7.6905184e-05,Baixo
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,2,0.9999448,Crítico
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,0,5.328111e-06,Baixo
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,0,3.3297256e-05,Baixo
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,0,0.008174442,Baixo
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,0,1.9946747e-06,Baixo
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,0,4.542655e-06,Baixo
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,0,0.76843274,Alto
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,0,0.00016631465,Baixo
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,6.798794e-05,Baixo
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,0,8.815288e-06,Baixo
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,0,0.0022727696,Baixo
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,5.1431687e-07,Baixo
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,0,1.3788303e-05,Baixo
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,0,1.9539446e-05,Baixo
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,0,8.6065813e-07,Baixo
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,0,2.6067225e-06,Baixo
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,0,3.557507e-07,Baixo
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,8.125929e-08,Baixo
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,0,1.09548814e-07,Baixo
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,0,8.3804576e-07,Baixo
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,0,9.380509e-06,Baixo
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,0,1.939392e-05,Baixo
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,0,3.0818612e-06,Baixo
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,0,1.508664e-07,Baixo
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,0,9.840672e-07,Baixo
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,0,8.541652e-08,Baixo
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,0,1.0670148e-06,Baixo
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,0,7.155271e-07,Baixo
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,0,1.5146814e-07,Baixo
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,0,1.7485894e-07,Baixo
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,0,7.167009e-06,Baixo
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,0,6.3708408e-06,Baixo
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,0,2.6396237e-06,Baixo
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,0,2.3710074e-06,Baixo
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,0,0.00011488199,Baixo
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,0,0.00016362703,Baixo
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,0,1.3701089e-06,Baixo
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,0,8.929463e-06,Baixo
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,0,1.32222185e-05,Baixo
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,0,1.3133689e-07,Baixo
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,0,2.1003143e-06,Baixo
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,0,5.9444557e-07,Baixo
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,0,3.265533e-07,Baixo
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,0,8.4271176e-07,Baixo
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,0,1.2785713e-06,Baixo
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,0,1.1528223e-05,Baixo
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,0,7.712257e-05,Baixo
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,0,1.0782085e-06,Baixo
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,0,2.6636394e-06,Baixo
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,0,3.0411811e-05,Baixo
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,0,1.0414317e-05,Baixo
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,0,4.588455e-06,Baixo
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,0,3.6376468e-06,Baixo
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,0,0.00010311176,Baixo
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,0,2.5597265e-07,Baixo
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,0,6.260223e-05,Baixo
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,0,6.0420416e-07,Baixo
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,0,0.0008086983,Baixo
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,0,1.0275276e-05,Baixo
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,0,7.403481e-06,Baixo
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,0,1.060612e-06,Baixo
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,0,3.2516335e-05,Baixo
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,0,1.3780324e-05,Baixo
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,0,1.480107e-05,Baixo
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,0,2.3947043e-05,Baixo
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,0,0.00017278412,Baixo
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,0,9.424006e-06,Baixo
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,0,1.2711458e-05,Baixo
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,0,3.407697e-05,Baixo
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,0,1.0434806e-05,Baixo
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,0,1.7804732e-05,Baixo
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,0,1.0000847e-05,Baixo
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,0,1.0322675e-05,Baixo
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,0,2.5399959e-06,Baixo
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,0,1.3625094e-05,Baixo
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,0,1.739503e-05,Baixo
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,0,5.7827845e-05,Baixo
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,0,1.2541153e-06,Baixo
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,0,0.0007748404,Baixo
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,0,1.8649185e-05,Baixo
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,0,8.086378e-05,Baixo
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,0,5.7682496e-06,Baixo
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,0,3.5295645e-05,Baixo
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,0,0.000100426674,Baixo
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,0,7.722371e-06,Baixo
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,0,3.1151903e-05,Baixo
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,0.011234715,Baixo
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,0,0.003119537,Baixo
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,0,0.0018368065,Baixo
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,0,8.424737e-05,Baixo
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,0,0.013403073,Baixo
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,0.9999304,Crítico
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,0.9097548,Crítico
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,0,2.6952355e-06,Baixo
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,0,5.167538e-06,Baixo
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,0,4.9562263e-06,Baixo
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,0,2.101592e-05,Baixo
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,0,1.5248341e-07,Baixo
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,0,6.8001723e-06,Baixo
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,0.9982497,Crítico
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,0,0.00033649761,Baixo
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,0,7.746053e-07,Baixo
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,0,8.245167e-07,Baixo
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,0,4.752749e-06,Baixo
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,0,9.938741e-07,Baixo
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,0,6.0898645e-05,Baixo
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,0,1.8706775e-06,Baixo
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,0,5.4663803e-07,Baixo
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,0,2.2868373e-06,Baixo
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,0,2.1724376e-05,Baixo
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,0,1.7179182e-05,Baixo
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,0,1.703537e-05,Baixo
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,2.0355515e-07,Baixo
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,0,9.405962e-07,Baixo
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,0,2.4711073e-05,Baixo
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,0,6.39183e-06,Baixo
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,0,0.0025409274,Baixo
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,0,3.058154e-05,Baixo
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,0,3.5035348e-05,Baixo
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,0,1.6507037e-06,Baixo
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,0,2.3124614e-06,Baixo
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,0,2.6654014e-05,Baixo
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,0,2.5128784e-06,Baixo
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,0,2.1031497e-05,Baixo
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,0,1.0799347e-07,Baixo
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,1,0.10894868,Baixo
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,0,5.480433e-05,Baixo
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,0,2.5384943e-06,Baixo
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,0,0.0002846319,Baixo
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,0,7.992503e-06,Baixo
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,0,0.00018384082,Baixo
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,0,2.2097336e-06,Baixo
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,0,2.1751202e-06,Baixo
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,0,2.5480313e-06,Baixo
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,0,4.303284e-05,Baixo
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,0,3.6945964e-06,Baixo
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,0,0.00015651305,Baixo
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,0,3.8068854e-05,Baixo
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,1,0.9659847,Crítico
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,0,8.8040616e-07,Baixo
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,0,2.8760383e-05,Baixo
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,0,4.8244554e-05,Baixo
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,0,1.3195311e-06,Baixo
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,0,1.4310716e-05,Baixo
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,0,8.302656e-05,Baixo
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,0,7.93791e-06,Baixo
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,0,1.0548301e-06,Baixo
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,0,4.681922e-06,Baixo
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,0,1.41504825e-05,Baixo
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,0,8.784841e-06,Baixo
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,0,9.4096526e-05,Baixo
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,0,5.5704022e-05,Baixo
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,0,3.0535564e-06,Baixo
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,0,1.3603606e-05,Baixo
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,0,7.690057e-06,Baixo
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,0,3.0890566e-05,Baixo
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,0,7.819681e-05,Baixo
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,0,2.8403241e-05,Baixo
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,0,1.6848486e-05,Baixo
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,0,2.7138913e-06,Baixo
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,0,3.6101388e-05,Baixo
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,0,2.2483043e-06,Baixo
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,0,1.6858789e-05,Baixo
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,0,1.7915647e-05,Baixo
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,0,1.034772e-05,Baixo
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,0,1.8057855e-06,Baixo
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,0,1.622936e-07,Baixo
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,0,5.911107e-06,Baixo
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,0,0.00020118039,Baixo
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,0,1.2020394e-06,Baixo
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,0,2.334813e-05,Baixo
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,0,6.7072147e-06,Baixo
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,0,0.00067898136,Baixo
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,1,0.98115015,Crítico
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,0,0.005351765,Baixo
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,0,0.00011911373,Baixo
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,0,0.0009900801,Baixo
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,0,0.0012565097,Baixo
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,0,0.0012058739,Baixo
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,1,0.99994004,Crítico
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,1,0.9999454,Crítico
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,0,1.4337942e-06,Baixo
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,0,1.687884e-07,Baixo
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,0,2.985684e-06,Baixo
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,0,6.6030148e-06,Baixo
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,0,6.5013523e-06,Baixo
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,0,7.882621e-07,Baixo
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,0,0.50372386,Moderado
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,0,2.168908e-06,Baixo
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,0,9.832223e-06,Baixo
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,1,0.9996408,Crítico
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,0,5.3313993e-06,Baixo
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,0,2.9188197e-07,Baixo
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,0,3.1613342e-07,Baixo
